,affiliation,email,citedby,scholar_id,filled,interests,name,url_picture,citedby5y,hindex,hindex5y,i10index,i10index5y,got_publications,got_coauthors
514118,UPV,@fis.upv.es,7538,_PIEWwMAAAAJ,{'indices'},acoustic|astroparticles|underwater|ultrasound,Juan Antonio Martinez Mora,https://scholar.google.com/citations?view_op=medium_photo&user=_PIEWwMAAAAJ,5637,38,31,81,70,0,0
514119,"Universidad Nacional de Educación a Distancia, UNED (Madrid, España)",@ccia.uned.es,4125,EV4jrNsAAAAJ,{'indices'},geomorphology|tsunami|quaternary|sea-level|underwater,Javier Lario,https://scholar.google.com/citations?view_op=medium_photo&user=EV4jrNsAAAAJ,1225,35,21,72,39,0,0
514120,Massachusetts Institute of Technology,@mit.edu,2053,orUv1eIAAAAJ,{'indices'},Robotics|Computer Vision|Underwater,Arjuna Balasuriya,https://scholar.google.com/citations?view_op=medium_photo&user=orUv1eIAAAAJ,619,23,11,41,12,0,0
514121,"INFN-LNS, Econscience",@lns.infn.it,1640,BzUC2p4AAAAJ,{'indices'},Physics|neutrino|acoustics|underwater,Salvatore Viola,https://scholar.google.com/citations?view_op=medium_photo&user=BzUC2p4AAAAJ,1124,18,16,34,19,0,0
514122,University of Connecticut,@lsi.com,947,HwNh8hAAAAAJ,{'indices'},OFDM|Underwater|LDPC,Jianzhong Huang,https://scholar.google.com/citations?view_op=medium_photo&user=HwNh8hAAAAAJ,492,8,6,8,6,0,0
514123,Professor del Departament de Matemàtiques i Informàtica (UIB),@uib.es,676,TDIEhkwAAAAJ,{'indices'},robotics|SLAM|localization|underwater|sonar,Antoni Burguera,https://scholar.google.com/citations?view_op=medium_photo&user=TDIEhkwAAAAJ,370,15,11,20,11,0,0
514124,SINTEF,@sintef.no,388,SKWnyWoAAAAJ,{'indices'},underwater|radio|sensors|wireless|protocol,Arne Lie,https://scholar.google.com/citations?view_op=medium_photo&user=SKWnyWoAAAAJ,83,10,4,11,3,0,0
514125,Clemson University,@g.clemson.edu,355,lcVwt3AAAAAJ,{'indices'},Photonics|Optical Communications|Underwater|Undersea|Orbital Angular Momentum,Kaitlyn Morgan,https://scholar.google.com/citations?view_op=medium_photo&user=lcVwt3AAAAAJ,348,9,9,9,9,0,0
514126,"Researcher, German Research Center for Artificial Intelligence",@dfki.de,209,hZAB-UcAAAAJ,{'indices'},robotics|underwater,Christopher Gaudig,https://scholar.google.com/citations?view_op=medium_photo&user=hZAB-UcAAAAJ,173,8,7,7,5,0,0
514127,"Department of Communication Engineering, Basrah University College of Science and …",@basrah-college.edu.iq,188,w-fgTJsAAAAJ,{'indices'},Wireless Communications|Propagation|MIMO|Underwater,Yasser Zahedi,https://scholar.google.com/citations?view_op=medium_photo&user=w-fgTJsAAAAJ,143,7,7,6,5,0,0
514128,Cranfield University,@cranfield.ac.uk,130,XyhivvQAAAAJ,{'indices'},Archaeology|Maritime|Underwater|Illicit Antiquities|Technology,Peter B. Campbell,https://scholar.google.com/citations?view_op=medium_photo&user=XyhivvQAAAAJ,100,3,3,1,1,0,0
514129,NASA Ames Research Center,@nasa.gov,128,wz2MEHwAAAAJ,{'indices'},Exploration|Planetary|Underwater|MEMS|CubeSat,Jonas Jonsson,https://scholar.google.com/citations?view_op=medium_photo&user=wz2MEHwAAAAJ,47,8,4,4,0,0,0
514130,"PhD Student, Griffith University",@griffithuni.edu.au,85,UvCc4pcAAAAJ,{'indices'},Ecommerce Security|Wireless Sensor Networks|Underwater|Sensor Networks,Nazia Majadi,https://scholar.google.com/citations?view_op=medium_photo&user=UvCc4pcAAAAJ,64,6,5,1,0,0,0
514131,"Universiti Teknikal Malaysia Melaka, UTeM",@utem.edu.my,83,ICl0TrYAAAAJ,{'indices'},Underwater|Vision System,Wee Teck Lim,https://scholar.google.com/citations?view_op=medium_photo&user=ICl0TrYAAAAJ,57,5,4,4,3,0,0
514132,İKÇÜ,,63,JpdqvscAAAAJ,{'indices'},wildlife|underwater|marine biology,Mustafa Alparslan,https://scholar.google.com/citations?view_op=medium_photo&user=JpdqvscAAAAJ,40,5,4,1,0,0,0
514133,UWA,@research.uwa.edu.au,54,rJM1rj8AAAAJ,{'indices'},Robotics|underwater|SLAM,Franco Hidalgo,https://scholar.google.com/citations?view_op=medium_photo&user=rJM1rj8AAAAJ,51,2,2,1,1,0,0
514134,selçuk üniversitesi arkeoloji bölümü doçenti,@selcuk.edu.tr,53,KCLuHhYAAAAJ,{'indices'},kekova|phaselis|knidos|harbour|underwater,Erdoğan Aslan,https://scholar.google.com/citations?view_op=medium_photo&user=KCLuHhYAAAAJ,45,4,4,0,0,0,0
514135,Assistant Professor in Physiology,@nu.edu.om,49,jb21RGYAAAAJ,{'indices'},Environmental Physiology|High altitude|Underwater,Dr Rajeev Bajaj,https://scholar.google.com/citations?view_op=medium_photo&user=jb21RGYAAAAJ,25,2,2,1,1,0,0
514136,"PhD student, The Biorobotics Institute, Scuola Superiore Sant'Anna, Pisa, Italy",@sssup.it,45,s2JzCdQAAAAJ,{'indices'},unmanned marine vehicles|robotics|automation|underwater,Nicola Di Lecce,https://scholar.google.com/citations?view_op=medium_photo&user=s2JzCdQAAAAJ,40,3,3,2,2,0,0
514137,PhD,@ntnu.no,32,0IzM_20AAAAJ,{'indices'},Underwater|Robotics|Autonomy,Bent Oddvar Arnesen Haugaløkken,https://scholar.google.com/citations?view_op=medium_photo&user=0IzM_20AAAAJ,32,3,3,1,1,0,0
